#timestamp [ns], p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1520530962744806490,1.2225485047,-0.3593893239,1.2309284925,0.9999403609,-0.0108671140,-0.0009484840,0.0005299107
1520530962753140490,1.2221417884,-0.3582825131,1.2300698344,0.9999793679,-0.0057419642,0.0017328739,0.0023001699
1520530962761473490,1.2224972794,-0.3581328233,1.2297581519,0.9999712189,-0.0061935121,0.0031339915,0.0030626452
1520530962769806490,1.2226328330,-0.3586760956,1.2302185289,0.9999583776,-0.0086621024,0.0011995862,0.0026023120
1520530962778139490,1.2227965380,-0.3587445861,1.2301649719,0.9999506534,-0.0093164646,0.0016610224,0.0030224665
1520530962786473490,1.2230451706,-0.3585832105,1.2301298370,0.9999649375,-0.0075216376,0.0012367629,0.0034668546
1520530962794806490,1.2232597983,-0.3588773643,1.2301604079,0.9999288561,-0.0108586518,0.0020711302,0.0044813964
1520530962803139490,1.2234368839,-0.3589187768,1.2301559528,0.9999190949,-0.0114516484,0.0021884169,0.0050866743
1520530962811473490,1.2237475399,-0.3588369599,1.2300693594,0.9999217757,-0.0111702311,0.0027700723,0.0048984866
1520530962819806490,1.2238658563,-0.3589915036,1.2300493645,0.9998887708,-0.0132136160,0.0035248203,0.0059516425
1520530962828139490,1.2241403658,-0.3588602017,1.2301046360,0.9999077276,-0.0118203313,0.0028205596,0.0060712909
1520530962836473490,1.2243122237,-0.3590587107,1.2301099360,0.9998718295,-0.0138236079,0.0034247751,0.0073145919
1520530962844806490,1.2246231809,-0.3589598616,1.2301748149,0.9998952183,-0.0122246962,0.0024890304,0.0073426096
1520530962853140490,1.2248378183,-0.3589735164,1.2302622677,0.9998901941,-0.0124080705,0.0022689246,0.0077776238
1520530962861473490,1.2250528927,-0.3590442164,1.2303749866,0.9998846497,-0.0125712237,0.0020721258,0.0082678885
1520530962869806490,1.2252340398,-0.3590828130,1.2304813057,0.9998798626,-0.0126979034,0.0018417822,0.0086966317
1520530962878140490,1.2254233735,-0.3591514370,1.2305982111,0.9998785177,-0.0126190987,0.0015672129,0.0090139931
1520530962886473490,1.2255015968,-0.3589795279,1.2308353978,0.9998910033,-0.0106402138,0.0003665642,0.0102290248
1520530962894806490,1.2257581057,-0.3590742421,1.2309927161,0.9998890456,-0.0106101304,0.0000129453,0.0104556881
1520530962903139490,1.2260257438,-0.3591728117,1.2311759029,0.9998851416,-0.0107656574,-0.0004063263,0.0106601640
1520530962911473490,1.2261551117,-0.3591851031,1.2312439035,0.9998934424,-0.0100882876,-0.0006291704,0.0105325456
1520530962919806490,1.2263539361,-0.3592425729,1.2313314615,0.9998966627,-0.0095862535,-0.0008205412,0.0106815007
1520530962928139490,1.2268811093,-0.3599836769,1.2319733842,0.9998520706,-0.0132470783,-0.0021535885,0.0107570368
1520530962936473490,1.2268018424,-0.3594257798,1.2316635885,0.9998981327,-0.0085156102,-0.0009275443,0.0114170174
1520530962944806490,1.2272645564,-0.3601756419,1.2323194594,0.9998572332,-0.0122399324,-0.0026896142,0.0113341636
1520530962953139490,1.2272013739,-0.3595884760,1.2319129473,0.9999037071,-0.0074498283,-0.0026274280,0.0114093464
1520530962961473490,1.2277545165,-0.3604150684,1.2324955248,0.9998608994,-0.0119782824,-0.0028623582,0.0112476471
1520530962969806490,1.2276443818,-0.3597280074,1.2322456965,0.9999055706,-0.0061388907,-0.0040553802,0.0116068007
1520530962978140490,1.2279587055,-0.3602226216,1.2324498304,0.9998858979,-0.0094233487,-0.0040264982,0.0110986060
1520530962986473490,1.2280243347,-0.3598239561,1.2325183562,0.9999057662,-0.0049243368,-0.0051606554,0.0117293292
1520530962994806490,1.2285827701,-0.3606669586,1.2330965278,0.9998715420,-0.0099595073,-0.0054139244,0.0113312464
1520530963003140490,1.2285681266,-0.3601064921,1.2327491651,0.9999124148,-0.0055886188,-0.0047376666,0.0110220086
1520530963011473490,1.2289883273,-0.3608700455,1.2333840681,0.9998797436,-0.0091606633,-0.0057906817,0.0110927226
1520530963019806490,1.2286214547,-0.3602292484,1.2329673287,0.9999135751,-0.0047920570,-0.0044107802,0.0114203108
