#timestamp [ns], p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1520531467575275014,0.7042434563,-0.2878307298,1.3530401296,0.9999465703,0.0009262838,-0.0100160413,0.0023827611
1520531467583608014,0.7042430719,-0.2878364418,1.3532319439,0.9999499508,-0.0000543861,-0.0097021022,0.0024417385
1520531467591941014,0.7042880447,-0.2877105062,1.3533315253,0.9999522485,-0.0013140434,-0.0091973168,0.0030304010
1520531467600275014,0.7041937361,-0.2875918351,1.3533388834,0.9999559843,-0.0022730769,-0.0085103016,0.0032306785
1520531467608608014,0.7039790066,-0.2875326310,1.3532606582,0.9999602494,-0.0031077379,-0.0075475461,0.0035883341
1520531467616941014,0.7039818397,-0.2875061480,1.3532873144,0.9999597389,-0.0038378088,-0.0068809474,0.0042946876
1520531467625274014,0.7037918833,-0.2874634030,1.3533019885,0.9999584106,-0.0049698858,-0.0062084969,0.0044645046
1520531467633608014,0.7036570031,-0.2874586488,1.3532862286,0.9999565348,-0.0055645900,-0.0058357478,0.0046805872
1520531467641941014,0.7035448791,-0.2874770607,1.3532967228,0.9999505133,-0.0063638387,-0.0055593663,0.0052503368
1520531467650274014,0.7032990121,-0.2874218906,1.3532825962,0.9999482027,-0.0068396992,-0.0053204275,0.0053388693
1520531467658608014,0.7031730790,-0.2874039381,1.3532802152,0.9999449327,-0.0071803165,-0.0051347745,0.0056752760
1520531467666941014,0.7030546826,-0.2873907560,1.3532404727,0.9999434922,-0.0073170231,-0.0048944288,0.0059597055
1520531467675274014,0.7029846117,-0.2873544984,1.3531677013,0.9999453867,-0.0070006943,-0.0048379840,0.0060669449
1520531467683608014,0.7029095889,-0.2874198172,1.3530653898,0.9999459048,-0.0068725883,-0.0044816942,0.0063929255
1520531467691941014,0.7027622004,-0.2874931916,1.3529287421,0.9999492083,-0.0067083295,-0.0039269101,0.0064154879
1520531467700275014,0.7025878997,-0.2876193274,1.3527646387,0.9999544104,-0.0064474364,-0.0033337357,0.0062043372
1520531467708608014,0.7024360722,-0.2878235947,1.3525892572,0.9999633451,-0.0057629307,-0.0029405098,0.0056080696
1520531467716941014,0.7022445072,-0.2880260538,1.3524046550,0.9999666216,-0.0056324204,-0.0024098853,0.0054059150
1520531467725275014,0.7019152815,-0.2881763033,1.3521342197,0.9999722542,-0.0052282614,-0.0022799654,0.0047914344
1520531467733608014,0.7019411278,-0.2885279924,1.3520908225,0.9999724697,-0.0052441878,-0.0021039685,0.0048095348
1520531467741941014,0.7017467764,-0.2888421379,1.3519601546,0.9999736272,-0.0050913255,-0.0020039077,0.0047757354
1520531467750274014,0.7015715487,-0.2891143352,1.3518224426,0.9999752475,-0.0047535406,-0.0021898451,0.0047024297
1520531467758608014,0.7014377942,-0.2893041216,1.3517107343,0.9999765613,-0.0040931813,-0.0026942056,0.0047816309
1520531467766941014,0.7011515500,-0.2895181633,1.3515507873,0.9999801352,-0.0031322300,-0.0035179664,0.0041883532
1520531467775274014,0.7009735944,-0.2899040090,1.3515736881,0.9999798828,-0.0025589114,-0.0040659036,0.0041417974
1520531467783608014,0.7007455172,-0.2902447604,1.3515627151,0.9999786227,-0.0020888383,-0.0045154924,0.0042427762
1520531467791941014,0.7004382738,-0.2906075687,1.3516255032,0.9999752432,-0.0015537786,-0.0057357008,0.0037683596
1520531467800274014,0.7000494714,-0.2910775952,1.3517206979,0.9999713515,-0.0012253964,-0.0066120467,0.0034749795
1520531467808608014,0.6996958262,-0.2915568190,1.3518330671,0.9999650277,-0.0003530112,-0.0078832203,0.0027701399
1520531467816941014,0.6993431820,-0.2920100331,1.3519396451,0.9999547027,0.0004841071,-0.0093363484,0.0017862997
1520531467825275014,0.6990259070,-0.2925370148,1.3520867485,0.9999430823,0.0011299393,-0.0105510645,0.0011092949
1520531467833608014,0.6985392143,-0.2929894542,1.3520726165,0.9999308482,0.0021233630,-0.0115597342,0.0004033515
1520531467841941014,0.6981065410,-0.2936330619,1.3521698489,0.9999179700,0.0027536832,-0.0124482428,-0.0012295355
1520531467850275014,0.6976836512,-0.2945096924,1.3523654575,0.9999040763,0.0029442400,-0.0133307335,-0.0023369198
1520531467858608014,0.6970560186,-0.2949350913,1.3521509244,0.9998915644,0.0043672038,-0.0134489698,-0.0041124372
1520531467866941014,0.6966798226,-0.2956636583,1.3522423970,0.9998730935,0.0047152805,-0.0140975159,-0.0057291471
1520531467875274014,0.6960518020,-0.2963218716,1.3520878704,0.9998507798,0.0056983168,-0.0142907737,-0.0078562823
1520531467883608014,0.6955492483,-0.2972121124,1.3523015747,0.9998442396,0.0052578059,-0.0140014454,-0.0093707847
1520531467891941014,0.6950910784,-0.2979159796,1.3522693615,0.9998262038,0.0058423612,-0.0139192413,-0.0109400072
