#timestamp [ns], p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1520530731382632018,0.6133646566,-0.3638428811,1.2577577142,0.9991824411,-0.0300339752,0.0128128850,-0.0238377774
1520530731390966018,0.6133464781,-0.3636720666,1.2577489957,0.9992024446,-0.0292834895,0.0127687909,-0.0239564190
1520530731399299018,0.6136105569,-0.3638230710,1.2581212805,0.9991871374,-0.0303603632,0.0115095148,-0.0238923394
1520530731407632018,0.6136259001,-0.3634724171,1.2581105703,0.9992229178,-0.0287635340,0.0111783323,-0.0245206969
1520530731415966018,0.6136077183,-0.3635374639,1.2582772842,0.9992075696,-0.0300879968,0.0107824083,-0.0237209801
1520530731424299018,0.6135707446,-0.3635414338,1.2583849264,0.9992045145,-0.0305175109,0.0104293982,-0.0234573533
1520530731432632018,0.6136846777,-0.3636736849,1.2586983360,0.9991921102,-0.0309443387,0.0092907454,-0.0239009824
1520530731440965018,0.6138202312,-0.3635242009,1.2589003996,0.9992278297,-0.0304446954,0.0079045969,-0.0235453223
1520530731449299018,0.6138466014,-0.3635316759,1.2589350970,0.9992397519,-0.0295359666,0.0075100941,-0.0243134411
1520530731457632018,0.6138691473,-0.3635363278,1.2589971741,0.9992486964,-0.0293407222,0.0072280363,-0.0242676777
1520530731465965018,0.6139864855,-0.3637627542,1.2591607956,0.9992481619,-0.0294528998,0.0065803350,-0.0243379701
1520530731474299018,0.6138941473,-0.3634523354,1.2590846375,0.9992783970,-0.0279785676,0.0059678607,-0.0249853898
1520530731482632018,0.6137957945,-0.3635413341,1.2590852299,0.9992852362,-0.0272311499,0.0053461124,-0.0256690528
1520530731490966018,0.6136779685,-0.3635887532,1.2589447171,0.9992883262,-0.0267030096,0.0053070489,-0.0261079611
1520530731499299018,0.6135305240,-0.3635371199,1.2589032588,0.9993108709,-0.0259131069,0.0044689046,-0.0261977693
1520530731507632018,0.6135938015,-0.3640327297,1.2590009228,0.9992706366,-0.0253095508,0.0036132478,-0.0283648720
1520530731515966018,0.6136925360,-0.3642221708,1.2592358857,0.9992711309,-0.0264540408,0.0027197310,-0.0273860123
1520530731524299018,0.6135823933,-0.3640687484,1.2590784367,0.9992836491,-0.0246889882,0.0021679660,-0.0285996926
1520530731532632018,0.6136782859,-0.3643409513,1.2592309844,0.9992833353,-0.0248317775,0.0010370042,-0.0285503647
1520530731540966018,0.6137349955,-0.3643469512,1.2592862958,0.9993015712,-0.0244333805,0.0002611060,-0.0282720996
1520530731549299018,0.6136315634,-0.3644358093,1.2592332961,0.9993120923,-0.0236701806,-0.0002161413,-0.0285485192
