#timestamp [ns], p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1520530308189679351,0.8417820384,-0.2193354118,1.2499749141,0.9996498117,0.0037373093,0.0097169635,-0.0243283190
1520530308198012351,0.8417344970,-0.2193450998,1.2500003423,0.9996655192,0.0038381891,0.0094471392,-0.0237669833
1520530308206345351,0.8417128582,-0.2194573235,1.2500733450,0.9996694998,0.0042068007,0.0089850361,-0.0237163042
1520530308214678351,0.8416509199,-0.2195350024,1.2501137541,0.9996738145,0.0043062709,0.0083613133,-0.0237446658
1520530308223012351,0.8416442200,-0.2195829795,1.2501578533,0.9996732280,0.0048327395,0.0078158417,-0.0238536031
1520530308231345351,0.8416391388,-0.2196769940,1.2502685881,0.9996797934,0.0048327591,0.0074577056,-0.0236925690
1520530308239678351,0.8415702349,-0.2197212807,1.2502333673,0.9996832802,0.0052053659,0.0070778623,-0.0235827771
1520530308248012351,0.8415556984,-0.2197589043,1.2502595423,0.9996876155,0.0052941582,0.0069173175,-0.0234263538
1520530308256345351,0.8415138225,-0.2198616986,1.2502645702,0.9996851268,0.0058677689,0.0068169219,-0.0234253322
1520530308264679351,0.8414875333,-0.2199077881,1.2502728273,0.9996857281,0.0062599962,0.0069506930,-0.0232582307
1520530308273012351,0.8415377775,-0.2200930927,1.2503818633,0.9996932450,0.0054591670,0.0063957135,-0.0232960987
1520530308281345351,0.8413886681,-0.2199901527,1.2501930067,0.9996939951,0.0065900905,0.0069178511,-0.0228173237
1520530308289679351,0.8414468127,-0.2202585608,1.2502946835,0.9997003200,0.0062953881,0.0065855309,-0.0227215560
1520530308298012351,0.8413040645,-0.2201380278,1.2501088105,0.9996992417,0.0074357366,0.0069488474,-0.0223125420
1520530308306345351,0.8412803276,-0.2202692580,1.2501002484,0.9997033166,0.0077797016,0.0068911728,-0.0220287725
1520530308314679351,0.8412788868,-0.2203243110,1.2500956311,0.9997126105,0.0080029604,0.0064594315,-0.0216546694
1520530308323012351,0.8412587307,-0.2203544360,1.2500539559,0.9997254232,0.0078694772,0.0061676875,-0.0211921958
1520530308331345351,0.8412409340,-0.2204587369,1.2500689709,0.9997345084,0.0079529808,0.0060036613,-0.0207754372
1520530308339678351,0.8412625372,-0.2204778036,1.2500482310,0.9997413888,0.0082928690,0.0057048367,-0.0203921225
1520530308348012351,0.8412847975,-0.2205277734,1.2500164996,0.9997409929,0.0088447128,0.0055384885,-0.0202248170
1520530308356345351,0.8412760004,-0.2205676965,1.2499688342,0.9997419715,0.0092523040,0.0054753588,-0.0200101407
1520530308364678351,0.8412708047,-0.2207106070,1.2499329774,0.9997139929,0.0105876112,0.0051288911,-0.0208213661
1520530308373012351,0.8411871817,-0.2206891156,1.2498834966,0.9997358538,0.0102245105,0.0054109334,-0.0198596022
1520530308381345351,0.8411415603,-0.2208605413,1.2498198354,0.9997074669,0.0113302512,0.0048809708,-0.0208034192
1520530308389679351,0.8410816771,-0.2209567297,1.2497776761,0.9997043186,0.0116781708,0.0047701034,-0.0207880226
1520530308398012351,0.8409949669,-0.2210828772,1.2497235510,0.9996929867,0.0122461280,0.0046046153,-0.0210419173
1520530308406345351,0.8409515211,-0.2211743241,1.2497250578,0.9996906717,0.0125382703,0.0043380395,-0.0210364963
1520530308414679351,0.8409064828,-0.2212265314,1.2495869425,0.9996793136,0.0132399447,0.0036635333,-0.0212732768
1520530308423012351,0.8408269945,-0.2213476283,1.2495777686,0.9996712036,0.0135909639,0.0033097160,-0.0214899073
1520530308431345351,0.8406836372,-0.2214356046,1.2495632309,0.9996803626,0.0136305650,0.0032298581,-0.0210463359
1520530308439679351,0.8405508895,-0.2217153987,1.2496843791,0.9996798103,0.0133813240,0.0032978050,-0.0212212511
1520530308448012351,0.8404627270,-0.2218380424,1.2496874968,0.9996794412,0.0132997599,0.0030387661,-0.0213283160
1520530308456345351,0.8403243030,-0.2222079122,1.2497108974,0.9996365158,0.0140476227,0.0024529746,-0.0228797598
1520530308464678351,0.8401986279,-0.2224369469,1.2498584985,0.9996474352,0.0134820908,0.0020680968,-0.0227807283
1520530308473012351,0.8401274862,-0.2228207231,1.2499234513,0.9996193646,0.0137005043,0.0016926050,-0.0238863377
1520530308481345351,0.8399355283,-0.2230939109,1.2498848690,0.9996052681,0.0135414161,0.0014745016,-0.0245716085
1520530308489678351,0.8397650049,-0.2233497993,1.2499158159,0.9996222578,0.0125091926,0.0019408900,-0.0243945649
1520530308498012351,0.8395672777,-0.2236946615,1.2499198704,0.9996026798,0.0121087530,0.0019493003,-0.0253783527
1520530308506345351,0.8394415272,-0.2241996378,1.2500188187,0.9995518619,0.0122380275,0.0016093828,-0.0272711544
1520530308514679351,0.8391591646,-0.2245675387,1.2498956233,0.9995263196,0.0118573250,0.0024497621,-0.0282937968
1520530308523012351,0.8389325172,-0.2249003896,1.2498030549,0.9995109792,0.0113466888,0.0032551391,-0.0289561592
1520530308531345351,0.8387052910,-0.2253503813,1.2496753402,0.9994775909,0.0108100523,0.0040837027,-0.0301829669
1520530308539679351,0.8384537072,-0.2258271201,1.2494758346,0.9994265974,0.0106288915,0.0050098324,-0.0317553870
1520530308548012351,0.8382199402,-0.2262415534,1.2492868513,0.9994061044,0.0097834527,0.0061242782,-0.0324686874
1520530308556345351,0.8379587304,-0.2266459809,1.2490476528,0.9993862860,0.0088246658,0.0075536905,-0.0330472141
1520530308564679351,0.8377492292,-0.2272644325,1.2489556114,0.9993422494,0.0079790843,0.0083365550,-0.0343788387
1520530308573012351,0.8374362772,-0.2276726943,1.2486674646,0.9993189964,0.0070385015,0.0099737466,-0.0348213619
1520530308581345351,0.8371853932,-0.2280620369,1.2484476369,0.9992749579,0.0065034523,0.0108447122,-0.0359117783
1520530308589678351,0.8369706902,-0.2285267960,1.2482236943,0.9992456576,0.0058358238,0.0117285336,-0.0365581782
1520530308598012351,0.8367759210,-0.2289733540,1.2480205799,0.9992270962,0.0051102826,0.0122658231,-0.0369951992
1520530308606345351,0.8366086796,-0.2294955687,1.2478657923,0.9992176439,0.0045736142,0.0126343794,-0.0371961649
