#timestamp [ns], p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1520621015527175707,0.5798400227,-0.3555221295,1.3164279481,0.9994533001,-0.0039880566,-0.0163407211,-0.0284636106
1520621015535508707,0.5794325909,-0.3556899378,1.3164341899,0.9994361027,-0.0048018716,-0.0156373925,-0.0293238923
1520621015543841707,0.5794008222,-0.3556705752,1.3160741734,0.9994240923,-0.0046039628,-0.0161263620,-0.0294996235
1520621015552175707,0.5791141559,-0.3556774246,1.3160282914,0.9994011496,-0.0051093292,-0.0157141859,-0.0304023252
1520621015560508707,0.5790647178,-0.3556184608,1.3156378651,0.9994352883,-0.0049728624,-0.0155755161,-0.0293560615
1520621015568842707,0.5787317446,-0.3555986600,1.3155310231,0.9994700586,-0.0054556577,-0.0142121130,-0.0287724464
1520621015577175707,0.5788653081,-0.3553992315,1.3150284743,0.9994886265,-0.0045488651,-0.0146028375,-0.0280811407
1520621015585508707,0.5786599158,-0.3553297838,1.3148538840,0.9995209891,-0.0044783000,-0.0136682443,-0.0274028522
1520621015593842707,0.5788015308,-0.3549751054,1.3144226702,0.9995707148,-0.0042424987,-0.0140336185,-0.0253662143
1520621015602175707,0.5786773390,-0.3549398240,1.3141583529,0.9995947777,-0.0037640013,-0.0128670585,-0.0251107831
1520621015610508707,0.5787487017,-0.3547962133,1.3137766017,0.9996032023,-0.0023646583,-0.0127284209,-0.0250166664
1520621015618841707,0.5787713428,-0.3545870380,1.3134029847,0.9996189795,-0.0014345735,-0.0124748375,-0.0245808108
1520621015627175707,0.5787707675,-0.3543892266,1.3129803962,0.9996411336,-0.0003479425,-0.0122481019,-0.0238215657
1520621015635508707,0.5789307610,-0.3542449340,1.3125756935,0.9996703761,0.0007294082,-0.0121777100,-0.0225900539
1520621015643842707,0.5791682662,-0.3538610750,1.3121915311,0.9997282137,0.0013656453,-0.0116260949,-0.0201610413
1520621015652175707,0.5793574183,-0.3535591804,1.3117160020,0.9997398051,0.0031624339,-0.0113736759,-0.0195182107
1520621015660508707,0.5795052345,-0.3531475369,1.3111779584,0.9997547047,0.0052760168,-0.0109665706,-0.0185048233
1520621015668841707,0.5796949054,-0.3528917291,1.3107300501,0.9997627330,0.0059994380,-0.0112352212,-0.0176707171
1520621015677175707,0.5798754926,-0.3524626600,1.3102154194,0.9997775131,0.0077997878,-0.0106575892,-0.0164469849
1520621015685508707,0.5801139913,-0.3518687333,1.3097897180,0.9998088624,0.0087155538,-0.0105754894,-0.0139440587
1520621015693842707,0.5803296121,-0.3515597371,1.3094003936,0.9998078612,0.0099814199,-0.0108185834,-0.0129448933
1520621015702175707,0.5804679514,-0.3511806527,1.3089811168,0.9997977750,0.0113215882,-0.0111117530,-0.0123595979
1520621015710508707,0.5803198259,-0.3506547915,1.3083220010,0.9997771806,0.0138231975,-0.0104302940,-0.0120713439
1520621015718842707,0.5802565769,-0.3501488564,1.3078251666,0.9997587935,0.0154163678,-0.0104813492,-0.0116117077
1520621015727175707,0.5804432503,-0.3500986521,1.3075097045,0.9997096871,0.0170173810,-0.0112212753,-0.0128465283
1520621015735508707,0.5806054923,-0.3497211010,1.3072837936,0.9997092820,0.0179529598,-0.0115735635,-0.0111846022
1520621015743841707,0.5808456249,-0.3494950846,1.3070628964,0.9996890052,0.0188933923,-0.0120171798,-0.0109781638
1520621015752175707,0.5809311414,-0.3491902778,1.3068458361,0.9996547448,0.0197009874,-0.0130398832,-0.0114988615
1520621015760508707,0.5810548203,-0.3489112430,1.3066645945,0.9996385271,0.0202321674,-0.0137622075,-0.0111389470
1520621015768842707,0.5811612023,-0.3486077019,1.3065034538,0.9996371921,0.0203766005,-0.0144151461,-0.0101233359
1520621015777175707,0.5812863409,-0.3483336323,1.3063591344,0.9996202252,0.0207555172,-0.0152298084,-0.0098319318
1520621015785508707,0.5815690140,-0.3480102762,1.3060636411,0.9995569897,0.0222869688,-0.0167235473,-0.0104612778
1520621015793841707,0.5815627904,-0.3478469373,1.3061483065,0.9995666889,0.0219669669,-0.0168622248,-0.0099775850
1520621015802175707,0.5816664867,-0.3476786899,1.3061829967,0.9995550066,0.0213474569,-0.0181393033,-0.0102489315
1520621015810508707,0.5818809236,-0.3475120751,1.3061092886,0.9995412831,0.0216755590,-0.0187856014,-0.0097208379
1520621015818842707,0.5820689845,-0.3470927852,1.3058650368,0.9994933609,0.0225226323,-0.0201389012,-0.0100088591
1520621015827175707,0.5819543052,-0.3468888272,1.3060588637,0.9995148157,0.0215922437,-0.0203177477,-0.0095444926
1520621015835508707,0.5820404106,-0.3468049709,1.3059550587,0.9994981998,0.0215947828,-0.0206314515,-0.0105525873
1520621015843842707,0.5821362649,-0.3466204786,1.3059281957,0.9994968059,0.0212858585,-0.0210618496,-0.0104616319
1520621015852175707,0.5822372942,-0.3464592011,1.3058935836,0.9994961857,0.0209208004,-0.0214500130,-0.0104686151
1520621015860508707,0.5824664512,-0.3462631832,1.3057086971,0.9994711825,0.0211135641,-0.0223873300,-0.0105061978
1520621015868841707,0.5826313440,-0.3462969403,1.3059836089,0.9994895183,0.0201360139,-0.0224367548,-0.0105752405
1520621015877175707,0.5826706356,-0.3462396317,1.3059286852,0.9994921807,0.0196206827,-0.0226818597,-0.0107676693
1520621015885508707,0.5827214974,-0.3462581455,1.3059374197,0.9994979900,0.0190205868,-0.0228764617,-0.0108927836
1520621015893842707,0.5826893999,-0.3462327417,1.3059559463,0.9994999034,0.0182394738,-0.0231535488,-0.0114532954
1520621015902175707,0.5825833109,-0.3463094387,1.3059634284,0.9995284325,0.0166987098,-0.0232403030,-0.0111334628
1520621015910508707,0.5825565952,-0.3463483046,1.3059962882,0.9995258473,0.0159098280,-0.0236473995,-0.0116515399
1520621015918841707,0.5826228089,-0.3463360589,1.3060696789,0.9995067615,0.0155655394,-0.0241191028,-0.0127364280
1520621015927175707,0.5829242770,-0.3466649311,1.3063678182,0.9994945951,0.0137319584,-0.0254449446,-0.0132114531
1520621015935508707,0.5829239081,-0.3466315111,1.3063896036,0.9994931393,0.0129737927,-0.0256460777,-0.0136902835
1520621015943842707,0.5829977461,-0.3465785502,1.3063582427,0.9994980129,0.0126213196,-0.0256974629,-0.0135670514
1520621015952175707,0.5830418223,-0.3464874739,1.3063344921,0.9994895369,0.0120407213,-0.0260895316,-0.0139650640
1520621015960508707,0.5831237220,-0.3463655140,1.3062714921,0.9995015117,0.0120211166,-0.0258239609,-0.0136141050
1520621015968842707,0.5832851432,-0.3462429465,1.3062260236,0.9994901436,0.0117869176,-0.0262604561,-0.0138170144
