# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1562773276.68432 0.004004 -0.000740 0.004000 0 0 0 1 0 0 0 0 0 0 2.3808490000 0.0000000000 0.0000000000 4.4478810000 0.0000000000 24.6115210000
1562773276.89162 0.004004 -0.002961 0.012000 0 0 0 1 0 0 0 0 0 0 2.3808490000 0.0000000000 0.0000000000 4.4478810000 0.0000000000 24.6115210000
1562773277.25765 0.004147 -0.002221 0.008000 0 0 0 1 0 0 0 0 0 0 2.3808490000 0.0000000000 0.0000000000 4.4478810000 0.0000000000 24.6115210000
1562773277.28224 0.008865 -0.001850 0.010000 0 0 0 1 0 0 0 0 0 0 2.3808490000 0.0000000000 0.0000000000 4.4478810000 0.0000000000 24.6115210000
1562773277.66562 0.009723 -0.004256 0.009000 0 0 0 1 0 0 0 0 0 0 2.3808490000 0.0000000000 0.0000000000 4.4478810000 0.0000000000 24.6115210000
1562773277.69464 0.009866 -0.005551 0.014000 0 0 0 1 0 0 0 0 0 0 2.3808490000 0.0000000000 0.0000000000 4.4478810000 0.0000000000 24.6115210000
1562773277.87930 0.012868 -0.005551 0.011000 0 0 0 1 0 0 0 0 0 0 2.3808490000 0.0000000000 0.0000000000 4.4478810000 0.0000000000 24.6214440000
1562773278.10134 0.014441 -0.003331 0.016000 0 0 0 1 0 0 0 0 0 0 2.3808490000 0.0000000000 0.0000000000 4.4478810000 0.0000000000 24.6214440000
1562773278.30308 0.016157 -0.004441 0.017000 0 0 0 1 0 0 0 0 0 0 2.3808490000 0.0000000000 0.0000000000 4.4478810000 0.0000000000 24.6214440000
1562773278.68929 0.016300 -0.004811 0.021000 0 0 0 1 0 0 0 0 0 0 2.3808490000 0.0000000000 0.0000000000 4.4478810000 0.0000000000 24.6214440000
