#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1662923769549663488,2.50698,-0.00182646,1.11265,0.408385,-0.54365,-0.512978,0.523946,-0.000450022,0.00060991,-0.000510033,-0.00083366,0.000989377,-0.00189934,0.118966,0.0852664,-0.0298089
1662923769559663616,2.50697,-0.00182051,1.11265,0.408381,-0.54365,-0.512974,0.523954,-0.000471016,0.000541702,-0.00023137,-0.00083366,0.000989377,-0.00189934,0.118966,0.0852664,-0.0298089
1662923769569663488,2.50697,-0.00181585,1.11264,0.408381,-0.543657,-0.512964,0.523956,-0.000411756,0.000421378,-0.000575765,-0.00083366,0.000989377,-0.00189934,0.118966,0.0852664,-0.0298088
1662923769579663616,2.50697,-0.00181193,1.11264,0.408372,-0.543659,-0.512971,0.523955,-0.000488447,0.00043242,-0.000321537,-0.000833659,0.000989376,-0.00189934,0.118967,0.0852664,-0.0298087
1662923769589663488,2.50696,-0.00180746,1.11263,0.408363,-0.543656,-0.512973,0.523962,-0.000409739,0.000429349,-0.000502327,-0.00083366,0.000989375,-0.00189934,0.118967,0.0852663,-0.0298084
1662923769599663616,2.50696,-0.00180298,1.11263,0.408367,-0.54366,-0.512968,0.523961,-0.000284323,0.000475371,-0.00054618,-0.00083366,0.000989375,-0.00189935,0.118968,0.0852663,-0.0298079
1662923769609663488,2.50695,-0.00179846,1.11263,0.408362,-0.543667,-0.512964,0.523961,-0.000327176,0.000401319,-0.000151185,-0.000833661,0.000989373,-0.00189935,0.118969,0.0852662,-0.0298074
1662923769619663360,2.50695,-0.00179426,1.11262,0.408369,-0.543671,-0.512959,0.523955,-0.000114174,0.000448755,-0.00050721,-0.000833663,0.000989372,-0.00189935,0.118969,0.0852661,-0.0298069
1662923769629663488,2.50695,-0.00179026,1.11262,0.408372,-0.543674,-0.512953,0.523956,-4.78e-05,0.000369572,-0.000199609,-0.000833664,0.00098937,-0.00189935,0.11897,0.0852658,-0.0298063
1662923769639663360,2.50695,-0.00178706,1.11262,0.408385,-0.54367,-0.512951,0.523952,-2.32275e-06,0.000259866,-0.000285196,-0.000833666,0.000989368,-0.00189935,0.118971,0.0852654,-0.0298058
1662923769649663488,2.50695,-0.00178486,1.11262,0.408384,-0.543665,-0.512953,0.523956,3.28618e-06,0.000240561,-5.56681e-05,-0.000833668,0.000989365,-0.00189935,0.118972,0.0852646,-0.0298054
