#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1662919156751490304,2.12206,0.66796,1.12143,0.326713,-0.442548,-0.60474,0.575934,-0.00144106,-2.06121e-05,2.16473e-05,-0.0009269,0.00142974,-0.00182161,0.12005,0.0902341,-0.0462047
1662919156761490432,2.12205,0.667961,1.12143,0.326687,-0.44256,-0.604759,0.575919,-0.000989457,5.67684e-05,-8.82262e-05,-0.0009269,0.00142974,-0.00182161,0.12005,0.0902341,-0.0462047
1662919156771490304,2.12204,0.667961,1.12143,0.326662,-0.442567,-0.604777,0.575909,-0.000643461,0.000131309,0.000200117,-0.0009269,0.00142974,-0.00182161,0.12005,0.090234,-0.0462048
1662919156781490432,2.12204,0.667964,1.12143,0.326647,-0.442565,-0.604795,0.575901,-0.00014992,0.000403828,0.000478826,-0.0009269,0.00142974,-0.00182161,0.12005,0.0902336,-0.046205
1662919156791490304,2.12204,0.667969,1.12143,0.326644,-0.442565,-0.604803,0.575894,0.000421532,0.000472761,0.000342386,-0.000926899,0.00142974,-0.00182162,0.12005,0.0902331,-0.0462056
1662919156801490432,2.12204,0.667972,1.12144,0.326637,-0.44256,-0.6048,0.575904,0.000990495,0.000318078,0.000109926,-0.000926898,0.00142974,-0.00182162,0.12005,0.0902325,-0.0462064
1662919156811490304,2.12205,0.667975,1.12144,0.326642,-0.442548,-0.604794,0.575917,0.00117986,0.000200391,0.000265087,-0.000926896,0.00142974,-0.00182162,0.12005,0.0902317,-0.0462077
1662919156821490176,2.12207,0.667978,1.12144,0.326643,-0.442527,-0.604791,0.575936,0.0011056,0.000446662,0.000430931,-0.000926894,0.00142974,-0.00182162,0.12005,0.0902305,-0.0462097
1662919156831490304,2.12208,0.667982,1.12145,0.326645,-0.442501,-0.604785,0.575961,0.000855274,0.000295152,0.00022617,-0.000926891,0.00142974,-0.00182162,0.12005,0.090229,-0.0462125
1662919156841490176,2.12208,0.667983,1.12145,0.326642,-0.442487,-0.604781,0.575978,0.000728173,4.89517e-05,-1.89527e-05,-0.000926888,0.00142974,-0.00182162,0.12005,0.090227,-0.0462164
1662919156851490304,2.12209,0.667983,1.12145,0.326644,-0.442481,-0.604777,0.575985,0.00048541,-0.000113668,0.000119524,-0.000926883,0.00142974,-0.00182162,0.12005,0.0902248,-0.0462213
1662919156861490176,2.12209,0.667982,1.12145,0.326652,-0.442467,-0.60478,0.575989,0.000108267,4.8764e-05,9.2265e-05,-0.000926877,0.00142974,-0.00182162,0.120051,0.0902222,-0.0462271
1662919156871490304,2.12209,0.667983,1.12145,0.326648,-0.442468,-0.604779,0.575991,-0.000342242,8.28864e-05,-0.000296965,-0.00092687,0.00142974,-0.00182162,0.120052,0.0902193,-0.046234
1662919156881490176,2.12209,0.667983,1.12144,0.326627,-0.44247,-0.60479,0.57599,-0.000675904,6.27085e-05,-0.000207432,-0.000926862,0.00142974,-0.00182163,0.120053,0.0902159,-0.0462418
1662919156891490304,2.12208,0.667983,1.12144,0.326611,-0.442477,-0.604799,0.575984,-0.00108582,7.45882e-05,2.92282e-05,-0.000926852,0.00142974,-0.00182163,0.120055,0.0902122,-0.0462506
1662919156901490176,2.12207,0.667984,1.12144,0.326596,-0.442478,-0.604813,0.575977,-0.0011734,0.000114802,-0.00020519,-0.000926842,0.00142975,-0.00182163,0.120059,0.0902084,-0.0462604
1662919156911490304,2.12205,0.667986,1.12144,0.32657,-0.442477,-0.604827,0.575978,-0.00107467,0.000161027,-0.000493188,-0.00092683,0.00142975,-0.00182163,0.120063,0.0902046,-0.0462711
1662919156921490176,2.12204,0.667987,1.12143,0.326557,-0.442477,-0.604836,0.575976,-0.00112813,0.000128911,-0.00015367,-0.000926817,0.00142976,-0.00182163,0.120068,0.0902007,-0.0462827
1662919156931490304,2.12203,0.667989,1.12143,0.326541,-0.442471,-0.604854,0.57597,-0.00127974,0.000360752,6.49079e-05,-0.000926803,0.00142976,-0.00182164,0.120074,0.0901969,-0.0462952
1662919156941490176,2.12202,0.667992,1.12143,0.326531,-0.442477,-0.604859,0.575966,-0.000898047,0.000279916,-0.000159611,-0.000926789,0.00142977,-0.00182164,0.12008,0.0901932,-0.0463087
1662919156951490048,2.12201,0.667994,1.12143,0.326519,-0.442485,-0.604865,0.575961,-0.0003537,0.000117481,-0.000341152,-0.000926775,0.00142978,-0.00182164,0.120087,0.0901897,-0.0463232
1662919156961490176,2.12201,0.667995,1.12143,0.326503,-0.442478,-0.60487,0.575969,-6.87941e-05,0.000169257,3.96968e-05,-0.000926759,0.00142979,-0.00182165,0.120094,0.0901867,-0.0463386
1662919156971490048,2.12201,0.667998,1.12143,0.326501,-0.442461,-0.604875,0.575979,-3.80634e-05,0.000432427,0.000159573,-0.000926743,0.00142979,-0.00182165,0.120101,0.0901842,-0.046355
1662919156981490176,2.12201,0.668002,1.12143,0.326488,-0.442444,-0.60488,0.575994,0.00025443,0.000355309,-8.44878e-05,-0.000926726,0.0014298,-0.00182166,0.120109,0.0901822,-0.0463723
1662919156991490048,2.12201,0.668004,1.12143,0.326481,-0.442443,-0.604878,0.576001,0.000501324,0.000106676,5.5705e-05,-0.000926708,0.00142981,-0.00182167,0.120116,0.090181,-0.0463906
1662919157001490176,2.12202,0.668005,1.12143,0.326485,-0.44243,-0.604885,0.576002,0.000639353,8.74652e-05,0.000449963,-0.000926689,0.00142982,-0.00182167,0.120124,0.0901805,-0.0464099
1662919157011490048,2.12203,0.668007,1.12144,0.326479,-0.442411,-0.604883,0.576021,0.000642466,0.000236292,0.000262898,-0.000926669,0.00142984,-0.00182168,0.120131,0.090181,-0.04643
