#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1662917363882721536,2.04492,0.504829,1.1062,0.199716,-0.461766,-0.707423,0.496425,0.000527424,0.000459794,0.000339822,-0.000853676,0.00115346,-0.00208639,0.0841862,0.0810045,0.00475039
1662917363892721408,2.04493,0.504833,1.10621,0.199714,-0.461769,-0.70742,0.496429,0.00056549,0.000395268,0.000427894,-0.000853676,0.00115346,-0.00208639,0.0841862,0.0810045,0.00475038
1662917363902721280,2.04493,0.504837,1.10621,0.199712,-0.461765,-0.70742,0.496432,0.00041006,0.000377673,0.000335939,-0.000853677,0.00115346,-0.00208639,0.0841861,0.0810045,0.00475036
1662917363912721408,2.04494,0.504841,1.10621,0.199711,-0.461764,-0.70742,0.496434,0.000239832,0.000567136,0.000391931,-0.000853679,0.00115346,-0.00208639,0.0841859,0.0810045,0.00475034
1662917363922721280,2.04494,0.504848,1.10622,0.199706,-0.461768,-0.707415,0.496439,6.60199e-05,0.00063431,0.000371856,-0.000853681,0.00115346,-0.00208639,0.0841856,0.0810045,0.00475036
1662917363932721408,2.04494,0.504853,1.10622,0.199702,-0.461775,-0.707408,0.496444,0.000171984,0.000353484,0.000198841,-0.000853683,0.00115346,-0.00208639,0.0841853,0.0810042,0.00475049
1662917363942721280,2.04494,0.504854,1.10622,0.199699,-0.461774,-0.707407,0.496448,-5.8601e-05,4.54873e-05,0.000336045,-0.000853686,0.00115346,-0.00208639,0.0841852,0.0810036,0.00475075
1662917363952721408,2.04494,0.504856,1.10623,0.199698,-0.461769,-0.70742,0.496434,-0.00027213,0.000295161,0.000353595,-0.000853689,0.00115346,-0.00208639,0.0841852,0.0810028,0.00475117
1662917363962721280,2.04494,0.50486,1.10623,0.199683,-0.46177,-0.707428,0.496428,-0.000505011,0.000413123,0.000408261,-0.000853693,0.00115347,-0.00208639,0.0841855,0.0810016,0.00475178
1662917363972721408,2.04493,0.504863,1.10623,0.199683,-0.461777,-0.707423,0.496429,-0.00038577,0.000130843,0.000332551,-0.000853699,0.00115347,-0.00208638,0.0841859,0.0810001,0.00475267
1662917363982721280,2.04493,0.504863,1.10624,0.199678,-0.461789,-0.70742,0.496424,-0.000232218,-5.07422e-05,2.59673e-05,-0.000853706,0.00115347,-0.00208638,0.0841863,0.0809984,0.00475405
1662917363992721408,2.04493,0.504863,1.10624,0.199675,-0.461783,-0.70743,0.496416,-0.000321658,5.71501e-05,-4.67118e-05,-0.000853715,0.00115348,-0.00208638,0.0841867,0.0809967,0.00475615
1662917364002721280,2.04492,0.504864,1.10624,0.199676,-0.461791,-0.707435,0.496401,-0.000362579,6.64256e-05,-8.59859e-05,-0.000853725,0.00115349,-0.00208638,0.0841871,0.0809953,0.00475918
1662917364012721408,2.04492,0.504864,1.10624,0.199678,-0.461803,-0.707429,0.496397,-0.00024569,-9.30788e-05,0.000111092,-0.000853736,0.0011535,-0.00208638,0.0841872,0.0809943,0.0047633
1662917364022721280,2.04492,0.504863,1.10624,0.19968,-0.461815,-0.70743,0.496385,-1.85804e-05,-0.000113391,9.94669e-05,-0.000853748,0.0011535,-0.00208638,0.0841871,0.0809938,0.00476862
1662917364032721408,2.04492,0.504862,1.10624,0.199669,-0.461818,-0.70743,0.496386,0.000263407,-8.92568e-05,0.000134717,-0.000853761,0.00115351,-0.00208637,0.0841867,0.0809937,0.00477509
1662917364042721280,2.04492,0.50486,1.10624,0.19967,-0.461812,-0.707431,0.496389,0.00039505,-0.000343835,0.000116499,-0.000853775,0.00115352,-0.00208637,0.0841863,0.0809939,0.00478258
1662917364052721152,2.04493,0.504857,1.10624,0.199668,-0.46181,-0.70743,0.496394,0.000374593,-0.000341171,8.59912e-05,-0.000853788,0.00115353,-0.00208637,0.0841858,0.0809946,0.00479096
1662917364062721280,2.04493,0.504855,1.10624,0.199663,-0.461799,-0.707445,0.496385,0.000203476,4.10409e-05,0.000259659,-0.000853802,0.00115354,-0.00208637,0.0841853,0.0809957,0.00480011
1662917364072721152,2.04493,0.504856,1.10625,0.199658,-0.461801,-0.70744,0.496392,0.000336931,7.6798e-05,0.000169149,-0.000853817,0.00115355,-0.00208637,0.0841847,0.0809972,0.00480994
